config,N,diameter_eff,bq_cluster,bq_mono_eff,ratio
monomer,1,500.0,0.42811696549811085,0.42811696549811085,1.0
dimer,2,629.9605249474366,0.39476527616224777,0.40971863960624283,0.9635033361958687
trimer_compact,3,721.1247851537041,0.3733871214308981,0.38369569302799567,0.9731334706528868
trimer_linear,3,721.1247851537041,0.368727750279036,0.38369569302799567,0.9609900683772659
tetramer_compact,4,793.7005259840997,0.3466000856465885,0.35729276206864463,0.9700730673631676
tetramer_square,4,793.7005259840997,0.35477824636992283,0.35729276206864463,0.9929623099998911
pentamer_semi_compact,5,854.9879733383484,0.32494517679489976,0.34674334891725067,0.9371345630985615
pentamer_compact_planar,5,854.9879733383484,0.3378598853393605,0.34674334891725067,0.9743802913433527
pentamer_cross,5,854.9879733383484,0.3463430013894778,0.34674334891725067,0.9988454067568333
pentamer_square_pyramid,5,854.9879733383484,0.33421697169616976,0.34674334891725067,0.9638742105358442
